 1    6   3    126.4         357      85.0      2.86
 1    6   4    125.8         337      82.0      3.27
 2    6   1    127.1         291      77.5      1.34
 2    6   2    127.1         359      84.8      3.07
 2    6   3    127.2         299      77.9      1.01
 2    6   4    127           296      77.6      1.02
 3    6   1    126.7         317      79.2      5.34
 3    6   2    126.6         273      76.6      3.76
 3    6   3    126.9         340      81.9      3.79
 3    6   4    127.1         288      77.4      1.55
 4    6   1    126.8         300      77.8      8.34
 4    6   2    126.5         284      76.9      1.40
 4    6   3    127.0         355      84.2      3.19
 4    6   4    127.3         326      80.1      5.19
 5    6   1    126.9         290      77.3      1.25
 5    6   2    127.3         364      85.6      2.99
 5    6   3    127.5         347      82.8      3.80
 5    6   4    127.3         274      77.3      2.65
 6    6   1    127.3         340      81.8      4.08
 6    6   2    127.4         281      77.4      3.71
 6    6   3    127.3         363      85.3      3.04
 6    6   4    127.1         348      83.0      3.54
 7    6   1    127.1         355      84.1      3.26
 7    6   2    127.1         327      80.2      4.82
 7    6   3    127.0         347      83.0      3.51
 7    6   4    127.3         313      78.9      6.87
 8    6   1    127.4         319      79.4      6.19
 8    6   2    127.1         316      79.2      5.98
 8    6   3    127.2         288      77.5      1.65
 8    6   4    127.2         296      77.7      1.11
 9    6   1    127.5         280      77.5      5.05
 9    6   2    127.5         317      79.2      6.66
 9    6   3    127.3         289      77.6      1.72
 9    6   4    127.3         362      85.2      3.06
 10   6   1    127.3         320      79.5      5.76
 10   6   2    127.5         307      78.5      8.44
 10   6   3    127.1         287      77.3      1.71
 10   6   4    127.4         368      86.2      2.94
 11   6   1    126.5         312      78.7      5.60
 11   6   2    126.8         287      77.1      1.40
 11   6   3    126.5         288      77.0      1.18
 11   6   4    126.3         263      76.3      7.45
 12   6   1    126.1         334      81.5      3.54
 12   6   2    126.1         287      76.8      9.86
 12   6   3    126.6         331      80.8      4.06
 12   6   4    126.5         265      76.5      3.42
 1    7   1    127.2         279      77.3      3.83
 1    7   2    127.1         315      79.1      6.06
 1    7   3    127.3         354      83.9      3.38
 1    7   4    127.3         341      82.0      3.98
 2    7   1    127.0         355      84.2      3.18
 2    7   2    127.2         364      85.7      2.95
 2    7   3    127.3         292      77.6      1.40
 2    7   4    127.1         305      78.2      7.99
 3    7   1    126.8         340      82.0      3.71
 3    7   2    126.9         275      76.9      4.58
 3    7   3    126.9         347      83.0      3.46
 3    7   4    126.8         354      84.2      3.10
 4    7   1    127.0         327      80.2      4.78
 4    7   2    127.1         324      79.9      5.09
 4    7   3    127.2         330      80.6      4.65
 4    7   4    126.9         270      76.9      3.64
 5    7   1    127.1         340      81.9      3.93
 5    7   2    127.0         344      82.4      3.68
 5    7   3    127.3         324      79.9      5.37
 5    7   4    127.1         361      85.2      3.02
 6    7   1    126.8         297      77.6      9.41
 6    7   2    127.0         310      78.6      6.71
 6    7   3    126.8         308      78.4      6.70
 6    7   4    126.9         348      83.2      3.38
 7    7   1    127.4         287      77.6      2.10
 7    7   2    127.5         326      80.1      5.39
 7    7   3    127.3         313      78.9      6.96
 7    7   4    127.4         285      77.5      2.43
 8    7   1    127.4         328      80.3      5.04
 8    7   2    127.2         313      78.9      6.50
 8    7   3    127.2         320      79.5      5.70
 8    7   4    127.4         342      82.0      3.99
 9    7   1    127.0         329      80.5      4.60
 9    7   2    127.3         298      77.9      1.09
 9    7   3    127.1         304      78.2      7.99
 9    7   4    127.1         299      77.9      9.68
 10   7   1    127.0         322      79.7      5.20
 10   7   2    126.9         324      79.9      4.93
 10   7   3    127.1         313      78.9      6.42
 10   7   4    127.0         307      78.4      7.36
 11   7   1    126.9         319      79.4      5.40
 11   7   2    127.0         284      77.2      1.86
 11   7   3    126.9         296      77.6      9.91
 11   7   4    126.7         280      76.9      2.07
 12   7   1    127.1         325      80.0      5.09
 12   7   2    126.8         301      77.9      8.13
 12   7   3    127.2         282      77.3      2.66
 12   7   4    127.0         343      82.4      3.69
 1    8   1    127.2         341      82.0      3.95
 1    8   2    127.5         296      77.9      1.27
 1    8   3    127.4         337      81.3      4.34
 1    8   4    127.2         355      84.2      3.24
 2    8   1    127.2         326      80.1      5.02
 2    8   2    127.1         310      78.6      6.93
 2    8   3    127.4         289      77.6      1.78
 2    8   4    127.1         308      78.5      7.25
 3    8   1    127.3         360      85.0      3.11
 3    8   2    127.2         353      83.7      3.36
 3    8   3    127.0         357      84.6      3.09
 3    8   4    126.6         320      79.5      4.91
 4    8   1    127.0         335      81.2      4.18
 4    8   2    126.9         362      85.6      2.90
